algoritmo,perda,conjunto,h,periodo,n,MAE,R2,vies_pico
hist_gradient_boosting,quantil_0.90,M1_com_vetor,12,avaliacao,102,195.08929591199248,0.6958495284739051,-406.48628957538364
hist_gradient_boosting,quantil_0.90,M1_com_vetor,12,calibracao,182,41.94349697480079,0.5431826664094177,-169.84714334610638
lightgbm,padrao,M0_sem_vetor,1,avaliacao,109,168.7629347579296,0.7633974436068489,-277.03407019040026
lightgbm,padrao,M0_sem_vetor,1,calibracao,198,36.127183278644715,0.5889821307252681,-159.15716464918313
lightgbm,padrao,M0_sem_vetor,4,avaliacao,109,200.21705872871487,0.6309790652439033,-388.2085640828636
lightgbm,padrao,M0_sem_vetor,4,calibracao,195,38.59390687300156,0.6281154066884334,-201.1934641896258
lightgbm,padrao,M0_sem_vetor,8,avaliacao,109,209.81425384620468,0.6695512367690142,-471.18768168723506
lightgbm,padrao,M0_sem_vetor,8,calibracao,191,45.08246587479897,0.4419894384891919,-248.21769157907642
lightgbm,padrao,M0_sem_vetor,12,avaliacao,109,234.28081023231118,0.5406310895125455,-596.253611961701
lightgbm,padrao,M0_sem_vetor,12,calibracao,187,50.33097251669729,0.2846845789992931,-308.343300127282
lightgbm,padrao,M1_com_vetor,1,avaliacao,102,174.216467272857,0.7127909118523456,-364.32200384887074
lightgbm,padrao,M1_com_vetor,1,calibracao,193,29.53728880370686,0.7608511550045189,-79.33258621317356
lightgbm,padrao,M1_com_vetor,4,avaliacao,102,222.90468462602158,0.6097929417524177,-517.8084377723234
lightgbm,padrao,M1_com_vetor,4,calibracao,190,38.118543258299056,0.6743664732664145,-140.64904046424215
lightgbm,padrao,M1_com_vetor,8,avaliacao,102,204.00441199666858,0.6858781164879039,-497.86840102300687
lightgbm,padrao,M1_com_vetor,8,calibracao,186,41.140544562468605,0.5748140354230451,-180.79535143768604
lightgbm,padrao,M1_com_vetor,12,avaliacao,102,196.7599190449802,0.7076209176127964,-476.101318832198
lightgbm,padrao,M1_com_vetor,12,calibracao,182,45.845734067703226,0.5112115575117492,-260.1939842357679
lightgbm,quantil_0.70,M0_sem_vetor,1,avaliacao,109,162.67519223623725,0.778511954411884,-251.47913882484232
lightgbm,quantil_0.70,M0_sem_vetor,1,calibracao,198,40.26183771140154,0.4547797309910422,-156.4360667852703
lightgbm,quantil_0.70,M0_sem_vetor,4,avaliacao,109,183.88405433586934,0.7159398138567316,-338.68339798837644
lightgbm,quantil_0.70,M0_sem_vetor,4,calibracao,195,46.33406340529759,0.43663892312712127,-209.78978547055044
lightgbm,quantil_0.70,M0_sem_vetor,8,avaliacao,109,198.94959941126191,0.6798059549931428,-481.2005903090689
lightgbm,quantil_0.70,M0_sem_vetor,8,calibracao,191,46.32971690973274,0.372404721870386,-259.4196024058826
lightgbm,quantil_0.70,M0_sem_vetor,12,avaliacao,109,224.9299119969225,0.5818078933278797,-543.055134893597
lightgbm,quantil_0.70,M0_sem_vetor,12,calibracao,187,47.308658149234695,0.3329833007688038,-292.01372352465967
lightgbm,quantil_0.70,M1_com_vetor,1,avaliacao,102,175.78246533727784,0.7307409506458566,-322.4103935814423
lightgbm,quantil_0.70,M1_com_vetor,1,calibracao,193,38.36758940233566,0.5021174512034077,-145.9687608069559
lightgbm,quantil_0.70,M1_com_vetor,4,avaliacao,102,193.91986020712298,0.701673790823355,-417.9202066998768
lightgbm,quantil_0.70,M1_com_vetor,4,calibracao,190,42.596256750514016,0.4717894770817356,-188.53095224583248
lightgbm,quantil_0.70,M1_com_vetor,8,avaliacao,102,193.72567642893705,0.6902440266562275,-467.3563394805126
lightgbm,quantil_0.70,M1_com_vetor,8,calibracao,186,44.60772225999364,0.4043981199310035,-243.9196467298739
lightgbm,quantil_0.70,M1_com_vetor,12,avaliacao,102,186.2739748946249,0.7183096604094252,-449.89423220755197
lightgbm,quantil_0.70,M1_com_vetor,12,calibracao,182,42.87492337305077,0.4632973580423947,-260.1348594455026
lightgbm,quantil_0.80,M0_sem_vetor,1,avaliacao,109,157.5017815531485,0.8005471159201281,-109.26440310556798
lightgbm,quantil_0.80,M0_sem_vetor,1,calibracao,198,43.029682085205266,0.4776780102064264,-76.76269592535556
lightgbm,quantil_0.80,M0_sem_vetor,4,avaliacao,109,175.61050016239318,0.761595936061221,-194.6430828084793
lightgbm,quantil_0.80,M0_sem_vetor,4,calibracao,195,46.67875423210535,0.5113455907286727,-126.94803656703121
lightgbm,quantil_0.80,M0_sem_vetor,8,avaliacao,109,172.24262890463808,0.7744752400777596,-348.8614087833262
lightgbm,quantil_0.80,M0_sem_vetor,8,calibracao,191,44.74135790918987,0.4663999164281174,-194.44313027339467
lightgbm,quantil_0.80,M0_sem_vetor,12,avaliacao,109,198.78638661055794,0.6752015671249125,-454.04226120037976
lightgbm,quantil_0.80,M0_sem_vetor,12,calibracao,187,43.700594619338716,0.4723993254679836,-208.76643483678833
lightgbm,quantil_0.80,M1_com_vetor,1,avaliacao,102,154.65416311899975,0.7829559651562893,-180.72493598161
lightgbm,quantil_0.80,M1_com_vetor,1,calibracao,193,42.83028585690258,0.5266907188402125,-70.9041612374159
lightgbm,quantil_0.80,M1_com_vetor,4,avaliacao,102,173.11715696496248,0.785986288692742,-294.254981544098
lightgbm,quantil_0.80,M1_com_vetor,4,calibracao,190,45.7425991228982,0.5385487290150783,-85.41000256555846
lightgbm,quantil_0.80,M1_com_vetor,8,avaliacao,102,176.98870316232063,0.7630778006573773,-363.26840970681786
lightgbm,quantil_0.80,M1_com_vetor,8,calibracao,186,46.06624149729289,0.5225584147826927,-143.51748560199624
lightgbm,quantil_0.80,M1_com_vetor,12,avaliacao,102,167.14409859841513,0.7873654030354812,-340.518302885516
lightgbm,quantil_0.80,M1_com_vetor,12,calibracao,182,42.80002073185623,0.5481235713223022,-174.6806227280114
lightgbm,quantil_0.85,M0_sem_vetor,1,avaliacao,109,149.4007291567326,0.8054366345495954,-4.062808893578415
lightgbm,quantil_0.85,M0_sem_vetor,1,calibracao,198,45.4690778352129,0.45665107298620233,-17.345042163858487
lightgbm,quantil_0.85,M0_sem_vetor,4,avaliacao,109,184.19389849336778,0.751754038707162,-97.15098787596463
lightgbm,quantil_0.85,M0_sem_vetor,4,calibracao,195,53.82861733880219,0.41213219612869956,-78.0932771094601
lightgbm,quantil_0.85,M0_sem_vetor,8,avaliacao,109,169.90097188955954,0.7928789108464549,-305.68757856709954
lightgbm,quantil_0.85,M0_sem_vetor,8,calibracao,191,43.346819717316706,0.5454646600302515,-161.928174947983
lightgbm,quantil_0.85,M0_sem_vetor,12,avaliacao,109,196.70009853316876,0.7116116693526618,-400.2720901363764
lightgbm,quantil_0.85,M0_sem_vetor,12,calibracao,187,46.47102100077955,0.5132358447634682,-153.654245847951
lightgbm,quantil_0.85,M1_com_vetor,1,avaliacao,102,132.87165350818944,0.8281540453814074,-89.84498121847496
lightgbm,quantil_0.85,M1_com_vetor,1,calibracao,193,48.16106318712044,0.4570249713251685,-15.403327823952331
lightgbm,quantil_0.85,M1_com_vetor,4,avaliacao,102,160.63651579743737,0.8157010448366333,-184.3452203817693
lightgbm,quantil_0.85,M1_com_vetor,4,calibracao,190,50.720449208783535,0.45517686280066705,-56.89645693156549
lightgbm,quantil_0.85,M1_com_vetor,8,avaliacao,102,162.35436027826742,0.8075461824243572,-317.3544053668363
lightgbm,quantil_0.85,M1_com_vetor,8,calibracao,186,53.39172479606095,0.42727191111638363,-113.36713894614326
lightgbm,quantil_0.85,M1_com_vetor,12,avaliacao,102,171.6489773000861,0.7866797837024514,-320.29367813886336
lightgbm,quantil_0.85,M1_com_vetor,12,calibracao,182,46.4496731779056,0.5559283279123878,-117.82856213853742
lightgbm,quantil_0.90,M0_sem_vetor,1,avaliacao,109,144.88846554481987,0.7968634231296416,103.33419486237983
lightgbm,quantil_0.90,M0_sem_vetor,1,calibracao,198,47.53694160388796,0.39068583742399166,42.21862623291631
lightgbm,quantil_0.90,M0_sem_vetor,4,avaliacao,109,187.4066989232763,0.7276763602277123,-51.835425926515306
lightgbm,quantil_0.90,M0_sem_vetor,4,calibracao,195,57.6848216374511,0.3385130041699149,-26.65529700955905
