ID;Local;Ano;Semana;Data Inicio;Data Fim;Latitude;Longitude;Aedes aegypti;Aedes albopictus;Culex sp;Precipitation;Temperature;Relative humidity;Mes
993727;JARDIM FLORESTA;2020;1;2019-12-29;2020-01-04;-30.000;-51.160;0;0;0;;;;12
993728;CRISTO REDENTOR;2020;1;2019-12-29;2020-01-04;-30.009;-51.162;0;0;0;;;;12
993729;CRISTO REDENTOR;2020;1;2019-12-29;2020-01-04;-30.005;-51.159;0;0;0;;;;12
993730;CRISTO REDENTOR;2020;1;2019-12-29;2020-01-04;-30.005;-51.156;0;0;0;;;;12
993731;JARDIM FLORESTA;2020;1;2019-12-29;2020-01-04;-30.002;-51.159;0;0;0;;;;12
993732;JARDIM SAO PEDRO;2020;1;2019-12-29;2020-01-04;-30.004;-51.164;0;0;1;;;;12
993733;JARDIM FLORESTA;2020;1;2019-12-29;2020-01-04;-30.003;-51.162;0;0;0;;;;12
993734;CRISTO REDENTOR;2020;1;2019-12-29;2020-01-04;-30.008;-51.162;0;0;0;;;;12
993735;HUMAITA;2020;1;2019-12-29;2020-01-04;-29.994;-51.194;0;0;0;;;;12
993736;NAVEGANTES;2020;1;2019-12-29;2020-01-04;-29.991;-51.196;0;0;0;;;;12
993737;NAVEGANTES;2020;1;2019-12-29;2020-01-04;-29.995;-51.199;0;0;0;;;;12
993738;NAVEGANTES;2020;1;2019-12-29;2020-01-04;-29.992;-51.201;0;0;0;;;;12
993739;JARDIM SAO PEDRO;2020;1;2019-12-29;2020-01-04;-30.004;-51.168;0;0;0;;;;12
993740;NAVEGANTES;2020;1;2019-12-29;2020-01-04;-29.995;-51.203;0;0;0;;;;12
993741;NAVEGANTES;2020;1;2019-12-29;2020-01-04;-30.000;-51.206;0;0;0;;;;12
993742;PASSO DA AREIA;2020;1;2019-12-29;2020-01-04;-30.007;-51.170;0;0;0;;;;12
993743;SANTA MARIA GORETTI;2020;1;2019-12-29;2020-01-04;-30.006;-51.171;0;0;0;;;;12
993744;SANTA MARIA GORETTI;2020;1;2019-12-29;2020-01-04;-30.004;-51.171;0;0;3;;;;12
993745;SANTA MARIA GORETTI;2020;1;2019-12-29;2020-01-04;-30.004;-51.176;0;0;0;;;;12
993746;NAVEGANTES;2020;1;2019-12-29;2020-01-04;-30.001;-51.194;0;0;0;;;;12
993747;NAVEGANTES;2020;1;2019-12-29;2020-01-04;-30.002;-51.198;0;0;0;;;;12
993748;NAVEGANTES;2020;1;2019-12-29;2020-01-04;-30.006;-51.198;0;0;0;;;;12
993749;SAO GERALDO;2020;1;2019-12-29;2020-01-04;-30.008;-51.198;0;0;0;;;;12
993750;SAO JOAO;2020;1;2019-12-29;2020-01-04;-30.012;-51.193;0;0;0;;;;12
993751;SAO GERALDO;2020;1;2019-12-29;2020-01-04;-30.010;-51.195;0;0;0;;;;12
993752;SAO GERALDO;2020;1;2019-12-29;2020-01-04;-30.010;-51.198;0;0;0;;;;12
993753;SAO GERALDO;2020;1;2019-12-29;2020-01-04;-30.010;-51.204;1;0;0;;;;12
993754;SAO GERALDO;2020;1;2019-12-29;2020-01-04;-30.003;-51.205;0;0;0;;;;12
993755;SAO GERALDO;2020;1;2019-12-29;2020-01-04;-30.005;-51.203;2;0;2;;;;12
993756;NAVEGANTES;2020;1;2019-12-29;2020-01-04;-30.004;-51.195;0;0;0;;;;12
993757;SAO JOAO;2020;1;2019-12-29;2020-01-04;-30.002;-51.190;0;0;0;;;;12
993758;SAO JOAO;2020;1;2019-12-29;2020-01-04;-30.012;-51.189;1;0;0;;;;12
993759;SAO JOAO;2020;1;2019-12-29;2020-01-04;-30.009;-51.188;0;0;0;;;;12
993760;SAO JOAO;2020;1;2019-12-29;2020-01-04;-30.009;-51.185;0;0;0;;;;12
993761;SAO JOAO;2020;1;2019-12-29;2020-01-04;-30.009;-51.192;0;0;0;;;;12
993762;SAO JOAO;2020;1;2019-12-29;2020-01-04;-30.012;-51.186;1;0;0;;;;12
993763;SAO JOAO;2020;1;2019-12-29;2020-01-04;-30.004;-51.183;0;0;0;;;;12
993764;SAO JOAO;2020;1;2019-12-29;2020-01-04;-30.003;-51.186;0;0;0;;;;12
993765;SAO JOAO;2020;1;2019-12-29;2020-01-04;-30.011;-51.183;0;0;0;;;;12
993766;SAO JOAO;2020;1;2019-12-29;2020-01-04;-30.005;-51.191;0;0;3;;;;12
993767;PASSO DA AREIA;2020;1;2019-12-29;2020-01-04;-30.022;-51.161;0;0;0;;;;12
993768;PASSO DA AREIA;2020;1;2019-12-29;2020-01-04;-30.009;-51.178;0;0;0;;;;12
993769;PASSO DA AREIA;2020;1;2019-12-29;2020-01-04;-30.018;-51.172;0;0;0;;;;12
993770;PASSO DA AREIA;2020;1;2019-12-29;2020-01-04;-30.020;-51.171;1;0;0;;;;12
993771;PASSO DA AREIA;2020;1;2019-12-29;2020-01-04;-30.012;-51.178;1;1;0;;;;12
993772;PASSO DA AREIA;2020;1;2019-12-29;2020-01-04;-30.011;-51.180;0;0;0;;;;12
993773;PASSO DA AREIA;2020;1;2019-12-29;2020-01-04;-30.018;-51.165;0;0;3;;;;12
993774;PASSO DA AREIA;2020;1;2019-12-29;2020-01-04;-30.019;-51.161;3;0;1;;;;12
993775;PASSO DA AREIA;2020;1;2019-12-29;2020-01-04;-30.016;-51.163;0;0;0;;;;12
993776;PASSO DA AREIA;2020;1;2019-12-29;2020-01-04;-30.013;-51.168;0;0;0;;;;12
993777;PASSO DA AREIA;2020;1;2019-12-29;2020-01-04;-30.014;-51.166;0;0;0;;;;12
993778;PASSO DA AREIA;2020;1;2019-12-29;2020-01-04;-30.014;-51.163;0;0;0;;;;12
993779;PASSO DA AREIA;2020;1;2019-12-29;2020-01-04;-30.012;-51.163;0;0;0;;;;12
993780;CRISTO REDENTOR;2020;1;2019-12-29;2020-01-04;-30.010;-51.158;0;0;0;;;;12
993781;PASSO DA AREIA;2020;1;2019-12-29;2020-01-04;-30.016;-51.167;0;0;1;;;;12
993782;CRISTO REDENTOR;2020;1;2019-12-29;2020-01-04;-30.013;-51.157;1;0;0;;;;12
993783;CRISTO REDENTOR;2020;1;2019-12-29;2020-01-04;-30.015;-51.156;2;1;0;;;;12
993784;PASSO DA AREIA;2020;1;2019-12-29;2020-01-04;-30.019;-51.164;0;0;0;;;;12
993785;CRISTO REDENTOR;2020;1;2019-12-29;2020-01-04;-30.012;-51.154;0;0;0;;;;12
993786;PASSO DA AREIA;2020;1;2019-12-29;2020-01-04;-30.012;-51.175;0;0;0;;;;12
993787;PASSO DA AREIA;2020;1;2019-12-29;2020-01-04;-30.016;-51.169;0;0;1;;;;12
993788;CRISTO REDENTOR;2020;1;2019-12-29;2020-01-04;-30.016;-51.160;0;0;0;;;;12
993789;FARRAPOS;2020;1;2019-12-29;2020-01-04;-29.989;-51.196;1;0;0;;;;12
993790;FARRAPOS;2020;1;2019-12-29;2020-01-04;-29.987;-51.195;1;0;0;;;;12
993791;PASSO DA AREIA;2020;1;2019-12-29;2020-01-04;-30.014;-51.177;0;0;0;;;;12
993792;NAVEGANTES;2020;1;2019-12-29;2020-01-04;-29.990;-51.200;3;0;17;;;;12
993793;PASSO DA AREIA;2020;1;2019-12-29;2020-01-04;-30.015;-51.175;0;0;0;;;;12
993794;FARRAPOS;2020;1;2019-12-29;2020-01-04;-29.988;-51.199;0;0;0;;;;12
993795;PASSO DA AREIA;2020;1;2019-12-29;2020-01-04;-30.018;-51.169;0;0;0;;;;12
993796;PASSO DA AREIA;2020;1;2019-12-29;2020-01-04;-30.017;-51.173;0;0;0;;;;12
993797;FARRAPOS;2020;1;2019-12-29;2020-01-04;-29.986;-51.198;0;0;0;;;;12
993798;PASSO DA AREIA;2020;1;2019-12-29;2020-01-04;-30.014;-51.173;0;0;0;;;;12
993799;FARRAPOS;2020;1;2019-12-29;2020-01-04;-29.986;-51.201;0;0;0;;;;12
993800;PASSO DA AREIA;2020;1;2019-12-29;2020-01-04;-30.009;-51.180;0;0;3;;;;12
993801;PASSO DA AREIA;2020;1;2019-12-29;2020-01-04;-30.012;-51.171;1;0;0;;;;12
993802;FARRAPOS;2020;1;2019-12-29;2020-01-04;-29.984;-51.200;0;0;0;;;;12
993803;PASSO DA AREIA;2020;1;2019-12-29;2020-01-04;-30.012;-51.173;1;0;0;;;;12
993804;FARRAPOS;2020;1;2019-12-29;2020-01-04;-29.986;-51.196;0;0;0;;;;12
993805;FARRAPOS;2020;1;2019-12-29;2020-01-04;-29.984;-51.197;0;0;0;;;;12
993806;HIGIENÓPOLIS;2020;1;2019-12-29;2020-01-04;-30.013;-51.180;2;0;0;;;;12
993807;BOA VISTA;2020;1;2019-12-29;2020-01-04;-30.020;-51.174;0;0;0;;;;12
993808;BOA VISTA;2020;1;2019-12-29;2020-01-04;-30.022;-51.172;0;0;0;;;;12
993809;VILA IPIRANGA;2020;1;2019-12-29;2020-01-04;-30.022;-51.156;1;0;0;;;;12
993810;VILA IPIRANGA;2020;1;2019-12-29;2020-01-04;-30.020;-51.159;1;0;0;;;;12
993811;VILA IPIRANGA;2020;1;2019-12-29;2020-01-04;-30.018;-51.158;1;0;0;;;;12
993812;VILA IPIRANGA;2020;1;2019-12-29;2020-01-04;-30.018;-51.155;0;0;0;;;;12
993813;VILA IPIRANGA;2020;1;2019-12-29;2020-01-04;-30.017;-51.153;0;0;0;;;;12
993814;VILA IPIRANGA;2020;1;2019-12-29;2020-01-04;-30.021;-51.153;0;0;2;;;;12
993815;VILA IPIRANGA;2020;1;2019-12-29;2020-01-04;-30.019;-51.154;1;0;0;;;;12
993816;VILA IPIRANGA;2020;1;2019-12-29;2020-01-04;-30.023;-51.152;0;0;0;;;;12
993817;PASSO DA AREIA;2020;1;2019-12-29;2020-01-04;-30.007;-51.173;0;0;0;;;;12
993818;PASSO DA AREIA;2020;1;2019-12-29;2020-01-04;-30.008;-51.176;0;0;0;;;;12
993819;PASSO DA AREIA;2020;1;2019-12-29;2020-01-04;-30.010;-51.169;0;0;0;;;;12
993820;PASSO DA AREIA;2020;1;2019-12-29;2020-01-04;-30.009;-51.166;0;0;0;;;;12
993821;PASSO DA AREIA;2020;1;2019-12-29;2020-01-04;-30.015;-51.169;0;0;8;;;;12
993822;PASSO DA AREIA;2020;1;2019-12-29;2020-01-04;-30.009;-51.174;0;0;0;;;;12
993823;PASSO DA AREIA;2020;1;2019-12-29;2020-01-04;-30.011;-51.176;0;0;0;;;;12
993824;PASSO DA AREIA;2020;1;2019-12-29;2020-01-04;-30.018;-51.175;0;0;0;;;;12
993825;PASSO DA AREIA;2020;1;2019-12-29;2020-01-04;-30.012;-51.166;0;0;0;;;;12
993826;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.073;-51.214;0;0;0;;;;12
993827;MEDIANEIRA;2020;1;2019-12-29;2020-01-04;-30.068;-51.207;0;1;0;;;;12
993828;MEDIANEIRA;2020;1;2019-12-29;2020-01-04;-30.065;-51.213;0;0;0;;;;12
993829;MEDIANEIRA;2020;1;2019-12-29;2020-01-04;-30.066;-51.208;0;0;0;;;;12
993830;MEDIANEIRA;2020;1;2019-12-29;2020-01-04;-30.062;-51.213;0;0;0;;;;12
993831;MEDIANEIRA;2020;1;2019-12-29;2020-01-04;-30.061;-51.208;0;0;0;;;;12
993832;MEDIANEIRA;2020;1;2019-12-29;2020-01-04;-30.064;-51.206;0;0;0;;;;12
