data_ini_se,SE,ano,semana_epi,casos,casos_est,casconf,p_inc100k,nivel,Rt,tempmin,tempmed,tempmax,umidmin,umidmed,umidmax,receptivo,transmissao,vetor_fonte,n_armadilhas,aegypti_total,aegypti_femea,aegypti_por_armadilha,imfa_femea,sem_sin,sem_cos,bloco
2021-04-11,202115,2021,15,15,15.0,,1.0078938,3,2.9836948,16.9166666666667,,,,,,0,1,marilia,847.0,1413.0,,1.6682408500590318,,0.9709418174260521,-0.2393156642875575,1
2021-04-18,202116,2021,16,17,17.0,,1.1422796,3,1.8123944,16.3333333333333,19.611598,22.6666666666667,66.77605,84.2501566666667,95.95318,0,0,marilia,853.0,933.0,,1.0937866354044548,,0.9350162426854148,-0.35460488704253545,1
2021-04-25,202117,2021,17,13,13.0,,0.873508,1,0.9708496,14.1944444444444,,,,,,0,0,marilia,878.0,761.0,,0.8667425968109339,,0.8854560256532099,-0.4647231720437685,1
2021-05-02,202118,2021,18,9,9.0,,0.60473627,1,0.6165822,12.0555555555556,,,,,,0,0,marilia,904.0,523.0,,0.5785398230088495,,0.8229838658936565,-0.5680647467311557,1
2021-05-09,202119,2021,19,13,13.0,,0.873508,1,0.9973946,9.91666666666667,,,,,,0,0,marilia,918.0,328.0,,0.3572984749455338,,0.7485107481711013,-0.6631226582407951,1
2021-05-16,202120,2021,20,12,12.0,,0.80631506,1,1.0420939,7.77777777777778,,,,,,0,0,marilia,942.0,244.0,,0.25902335456475584,,0.6631226582407952,-0.7485107481711012,1
2021-05-23,202121,2021,21,4,4.0,,0.26877168,1,0.35515004,5.63888888888889,,,,,,0,0,marilia,954.0,149.0,,0.15618448637316562,,0.5680647467311558,-0.8229838658936564,1
2021-05-30,202122,2021,22,2,2.0,,0.13438584,1,0.20932278,3.5,8.5454545,14.5,38.800895,77.46519,100.0,0,0,marilia,974.0,95.0,,0.09753593429158111,,0.46472317204376906,-0.8854560256532096,1
2021-06-06,202123,2021,23,2,2.0,,0.13438584,1,0.34276652,14.0,15.443609,17.0,80.299865,90.382588,100.0,0,0,marilia,979.0,107.0,,0.10929519918283963,,0.35460488704253584,-0.9350162426854147,1
2021-06-13,202124,2021,24,2,2.0,,0.13438584,1,0.65265197,8.16666666666667,12.4074073333333,16.0,68.2684998333333,85.0678256666667,96.7517266666667,0,0,marilia,983.0,76.0,,0.07731434384537131,,0.23931566428755768,-0.970941817426052,1
2021-06-20,202125,2021,25,4,4.0,,0.26877168,1,1.7757016,11.8571428571429,15.3278541428571,18.5714285714286,71.3111514285714,88.9969184285714,99.0997914285714,0,0,marilia,988.0,25.0,,0.025303643724696356,,0.12053668025532308,-0.992708874098054,1
2021-06-27,202126,2021,26,2,2.0,,0.13438584,1,0.8048207,7.0,11.0135416428571,15.2857142857143,59.542513,80.0312892857143,95.5009271428571,0,0,marilia,991.0,12.0,,0.012108980827447022,,-3.216245299353273e-16,-1.0,1
