data_inicio_semana_epidemi,precip_total_mm,precip_max_dia_mm,precip_media_dia_mm,dias_de_chuva,temp_media,temp_min,temp_max,temp_amplitude_media,orvalho_min,orvalho_media,orvalho_max,umid_min,umid_media,umid_max,pressao_min,pressao_media,pressao_max,radiacao_min,radiacao_media,radiacao_max,vento_media,vento_max
2017-12-17,70.24,55.58,10.034285714285714,4,23.41857142857143,16.48,34.39,9.808571428571419,15.05,20.232857142857142,22.87,76.35,83.27857142857142,89.53,100.11,100.72285714285715,101.53,10.95,17.284285714285716,29.11,4.07142857142857,5.28
2017-12-24,7.630000000000001,3.65,1.09,2,22.814285714285713,14.96,29.85,9.479999999999997,15.52,19.604285714285712,21.75,77.6,83.12285714285716,86.99,100.32,100.71000000000001,101.0,21.29,27.75857142857143,33.01,3.564285714285714,5.54
2017-12-31,13.43,9.02,1.9185714285714286,2,24.092857142857145,17.0,33.11,10.985714285714288,17.73,19.788571428571426,21.68,71.0,78.65714285714286,85.76,99.87,100.36571428571429,100.86,14.33,23.904285714285717,32.23,3.248571428571428,4.86
2018-01-07,18.389999999999997,15.78,2.627142857142857,2,23.267142857142858,15.53,29.81,9.387142857142862,14.85,19.571428571428573,22.11,71.75,80.89285714285714,85.94,100.27,101.06714285714285,101.5,22.47,27.322857142857142,32.04,3.8085714285714283,5.19
2018-01-14,26.089999999999996,11.51,3.7271428571428564,4,24.75142857142857,15.84,30.97,9.83857142857143,17.83,20.954285714285714,22.81,74.24,80.8957142857143,85.45,100.12,100.6542857142857,101.05,17.24,21.767142857142858,31.71,3.775714285714286,5.13
2018-01-21,44.510000000000005,20.53,6.358571428571429,6,24.25857142857143,17.04,30.81,8.212857142857143,16.96,20.861428571428572,23.72,76.49,82.15714285714286,86.33,100.13,100.60857142857142,101.12,7.12,18.461428571428574,24.14,4.197142857142857,5.54
2018-01-28,11.71,10.63,1.672857142857143,2,23.25,17.42,29.3,9.25,17.82,19.268571428571427,22.03,74.42,79.84,85.06,100.31,100.66857142857144,100.88,14.31,25.2,29.86,3.7885714285714287,4.86
2018-02-04,13.36,11.65,1.9085714285714286,2,24.27142857142857,16.59,33.13,11.111428571428572,17.65,19.874285714285715,22.57,77.03,78.38285714285713,82.02,100.29,100.58,101.02,21.69,25.705714285714283,27.99,3.4657142857142853,4.8
2018-02-11,11.35,10.94,1.6214285714285714,1,21.467142857142857,14.1,28.62,10.860000000000003,14.22,16.889999999999997,20.45,71.08,76.88428571428571,85.79,100.76,101.39714285714285,101.73,7.14,23.758571428571425,28.15,4.16,5.16
2018-02-18,11.38,6.54,1.625714285714286,3,23.692857142857143,17.27,31.1,9.98857142857143,17.69,19.359999999999996,21.44,75.57,78.58,83.41,99.8,100.55142857142859,101.19,9.22,19.994285714285716,26.02,3.405714285714286,3.95
2018-02-25,19.409999999999997,12.58,2.7728571428571422,3,24.585714285714285,19.54,30.55,8.824285714285715,19.35,20.77857142857143,21.99,76.52,80.95285714285716,85.55,100.7,100.86,101.11,17.07,20.875714285714285,24.25,2.5028571428571427,2.79
2018-03-04,0.33999999999999997,0.18,0.048571428571428564,0,23.811428571428568,16.43,32.99,11.061428571428578,14.49,17.98142857142857,21.16,65.19,72.49571428571429,80.63,100.34,100.63428571428572,100.93,12.04,20.868571428571432,24.26,2.8242857142857143,3.54
2018-03-11,39.0,31.82,5.571428571428571,3,22.834285714285716,13.83,34.91,12.431428571428569,12.52,16.635714285714283,21.89,62.91,71.79285714285713,90.08,100.17,100.5457142857143,100.92,10.57,21.517142857142858,25.8,2.8828571428571435,4.75
2018-03-18,51.8,31.2,7.3999999999999995,5,22.372857142857146,14.02,34.04,10.341428571428576,14.14,18.27857142857143,23.31,72.97,79.35714285714286,90.91,100.1,100.65999999999998,101.08,2.18,17.34,23.32,2.7157142857142857,3.88
2018-03-25,38.49,26.77,5.498571428571429,5,22.169999999999998,16.43,28.5,6.064285714285713,16.06,19.955714285714286,21.64,82.4,87.78714285714285,94.13,100.67,101.06285714285714,101.56,3.56,11.752857142857144,15.77,2.9985714285714287,5.16
2018-04-01,38.64,23.11,5.5200000000000005,4,21.375714285714285,16.5,28.42,7.744285714285713,18.06,19.032857142857143,20.81,81.75,87.31714285714285,92.14,100.3,100.68714285714285,100.92,7.39,15.202857142857141,19.65,2.8728571428571428,4.86
2018-04-08,7.76,7.16,1.1085714285714285,1,22.63,16.38,30.91,9.342857142857142,15.13,18.985714285714284,20.74,75.99,81.07428571428571,85.2,100.88,101.30428571428571,102.13,5.49,14.96285714285714,19.24,3.62,5.09
2018-04-15,14.99,12.6,2.1414285714285715,2,21.375714285714288,14.01,30.29,10.915714285714287,15.4,17.065714285714286,20.15,74.32,78.12285714285714,86.69,101.02,101.60857142857142,102.19,4.34,15.328571428571431,18.82,3.1799999999999997,4.61
2018-04-22,1.2999999999999998,0.61,0.1857142857142857,0,23.66,18.33,30.0,9.26285714285714,19.7,20.31714285714286,21.01,77.76,82.73142857142857,84.83,100.99,101.21428571428571,101.36,9.99,12.722857142857142,15.54,2.0485714285714285,2.42
2018-04-29,18.889999999999997,11.16,2.698571428571428,3,22.055714285714288,16.71,30.58,7.8657142857142865,17.73,19.435714285714287,21.01,79.08,86.00999999999999,89.41,100.95,101.21142857142857,101.49,3.85,8.224285714285715,13.18,2.8771428571428572,4.22
2018-05-06,8.61,7.02,1.23,2,20.599999999999998,14.13,29.85,9.204285714285717,14.04,17.195714285714285,18.91,78.6,82.30285714285712,87.33,100.57,101.33571428571429,101.91,7.28,10.719999999999999,14.78,3.8200000000000003,4.99
2018-05-13,56.599999999999994,29.88,8.085714285714285,3,15.69,10.79,26.26,7.794285714285721,9.39,12.404285714285715,15.21,69.83,82.30142857142857,92.51,100.76,101.11714285714285,101.44,2.3,9.322857142857144,14.81,3.2971428571428567,6.68
2018-05-20,0.24000000000000002,0.06,0.03428571428571429,0,12.188571428571427,5.16,23.12,11.262857142857143,6.33,9.11,12.94,74.07,82.14999999999999,87.73,101.07,101.65,102.09,8.83,12.9,14.55,3.005714285714286,5.53
2018-05-27,13.56,12.46,1.9371428571428573,1,17.344285714285714,8.72,26.1,10.477142857142857,9.96,14.542857142857144,16.5,80.04,84.3757142857143,90.53,100.69,101.31857142857142,101.62,3.35,10.092857142857142,13.29,3.2514285714285713,4.58
2018-06-03,9.559999999999999,5.04,1.3657142857142854,3,11.767142857142858,4.52,19.67,8.87857142857143,5.51,8.707142857142857,12.45,75.85,83.07000000000001,93.36,101.16,101.56285714285715,102.37,6.12,10.56142857142857,13.42,3.208571428571428,4.14
2018-06-10,45.540000000000006,27.36,6.505714285714286,3,13.008571428571427,3.03,26.7,8.481428571428575,3.39,10.13857142857143,19.68,76.27,83.42,91.37,100.01,101.44857142857143,102.61,2.18,8.587142857142856,12.9,3.695714285714286,6.83
2018-06-17,10.19,6.51,1.4557142857142857,2,12.920000000000002,3.19,25.47,13.085714285714285,5.53,10.777142857142858,14.54,82.21,86.72285714285714,90.97,100.84,101.69714285714285,102.48,7.57,10.262857142857143,13.2,2.8042857142857143,4.8
2018-06-24,54.330000000000005,16.53,7.7614285714285725,5,14.118571428571428,7.25,21.92,7.944285714285714,9.07,12.727142857142857,16.24,85.89,90.54285714285716,94.7,101.15,101.28285714285714,101.6,2.0,6.225714285714284,12.5,2.257142857142857,3.55
2018-07-01,37.919999999999995,21.86,5.417142857142856,6,14.478571428571428,7.04,25.3,8.588571428571433,7.23,12.602857142857145,16.7,81.66,88.60857142857142,93.12,100.67,101.24428571428572,101.86,1.47,5.368571428571428,10.95,3.3542857142857145,4.5
2018-07-08,17.74,13.06,2.5342857142857143,3,12.26142857142857,4.51,22.79,8.814285714285711,7.67,9.91,12.92,79.47,85.94714285714284,93.94,101.03,101.74571428571427,102.28,3.38,9.745714285714286,13.17,3.507142857142857,6.23
2018-07-15,69.91000000000001,33.93,9.987142857142858,3,17.025714285714283,7.71,26.21,9.682857142857138,5.2,14.865714285714288,18.33,73.2,87.43000000000002,93.79,100.72,101.18285714285715,101.8,1.72,8.75,14.39,4.218571428571429,5.65
2018-07-22,48.160000000000004,19.12,6.880000000000001,5,13.598571428571429,4.48,20.49,7.2142857142857135,8.99,12.114285714285714,14.95,84.36,90.86571428571429,94.11,100.97,101.76,102.47,2.26,5.51,12.22,3.4057142857142857,6.24
2018-07-29,1.9500000000000002,0.88,0.2785714285714286,0,12.328571428571431,5.21,20.9,9.231428571428571,5.48,9.861428571428572,13.81,78.78,85.49,90.94,101.04,101.47714285714287,101.97,10.16,11.537142857142856,14.6,3.1128571428571434,5.2
2018-08-05,19.43,10.63,2.775714285714286,4,11.864285714285714,6.63,23.15,9.471428571428572,6.55,9.694285714285712,12.78,81.06,86.37285714285714,90.59,101.07,101.42285714285713,101.76,3.2,10.624285714285715,16.3,4.288571428571428,7.02
2018-08-12,0.5,0.26,0.07142857142857142,0,14.157142857142857,7.62,23.16,11.698571428571427,9.87,12.045714285714284,13.76,81.88,86.39857142857143,90.86,101.26,101.77857142857144,102.22,9.33,14.898571428571428,17.97,2.8457142857142856,3.77
2018-08-19,72.21000000000001,30.2,10.315714285714288,5,12.752857142857144,6.52,26.19,9.018571428571429,6.33,10.12857142857143,15.63,74.8,85.25,93.47,100.41,101.50857142857141,102.2,3.36,10.375714285714285,18.3,4.047142857142857,7.15
2018-08-26,100.75999999999999,45.64,14.394285714285713,3,14.762857142857143,1.89,26.48,11.68142857142857,2.2,11.632857142857143,17.59,67.08,83.10571428571428,94.86,100.73,101.38285714285713,102.34,2.37,12.210000000000003,19.99,3.492857142857143,7.39
2018-09-02,23.68,12.98,3.382857142857143,3,15.40857142857143,7.56,24.52,9.932857142857143,10.82,12.992857142857144,15.6,80.22,86.24428571428572,94.57,100.92,101.42142857142856,101.76,6.63,16.37857142857143,21.26,3.3285714285714287,5.43
2018-09-09,22.22,11.58,3.174285714285714,3,16.842857142857145,11.09,24.09,7.972857142857142,13.09,14.905714285714286,16.86,84.59,88.30571428571429,94.41,100.82,101.32285714285715,101.77,4.91,12.578571428571427,18.98,5.031428571428571,6.2
2018-09-16,4.930000000000001,2.72,0.7042857142857144,1,19.565714285714286,13.72,29.51,9.138571428571424,14.38,16.832857142857144,19.87,83.06,85.01285714285713,88.82,100.44,100.83714285714288,101.25,11.03,16.5,23.1,3.4714285714285715,5.35
2018-09-23,79.47000000000001,32.9,11.352857142857145,4,20.944285714285716,15.52,29.45,7.420000000000002,16.58,18.937142857142856,20.98,84.71,88.84,93.2,100.36,100.78285714285714,101.06,3.25,10.498571428571427,22.95,4.21,5.74
2018-09-30,48.27000000000001,25.85,6.895714285714287,4,17.925714285714285,9.58,28.25,8.802857142857142,9.46,14.414285714285713,21.14,71.14,81.10571428571427,86.52,100.39,101.16999999999999,101.85,6.34,15.067142857142857,25.1,3.7985714285714285,4.73
