h,data,real,pred,variante
8,2022-11-20,2.0,17.862198133715406,atual
8,2022-12-04,2.0,38.40448812686461,atual
8,2022-12-18,10.0,0.0,atual
8,2023-01-01,27.0,166.3211524480277,atual
8,2023-01-15,93.0,90.36565730610567,atual
8,2023-01-29,250.0,105.88302924090074,atual
8,2023-02-12,541.0,551.741707395006,atual
8,2023-02-26,581.0,293.4796534164736,atual
8,2023-03-12,762.0,277.2236017448464,atual
8,2023-03-26,473.0,107.70632170773253,atual
8,2023-04-09,225.0,486.2909656419766,atual
8,2023-04-23,66.0,43.38686949427334,atual
8,2023-05-07,74.0,32.28092455892597,atual
8,2023-05-21,32.0,40.31558949814191,atual
8,2023-06-04,15.0,44.25414771333661,atual
8,2023-06-18,13.0,4.510531038720541,atual
8,2023-07-02,9.0,56.43508136070419,atual
8,2023-07-16,9.0,0.0,atual
8,2023-07-30,0.0,0.0,atual
8,2023-08-13,5.0,0.0,atual
8,2023-08-27,3.0,0.0,atual
8,2023-09-10,6.0,10.316574003734807,atual
8,2023-09-24,3.0,7.968182615936729,atual
8,2023-10-08,7.0,0.0,atual
8,2023-10-22,3.0,51.23786726853551,atual
8,2023-11-05,9.0,9.759002240539232,atual
8,2023-11-19,12.0,0.0,atual
8,2023-12-03,39.0,75.78641420816685,atual
8,2023-12-17,156.0,22.076638015469186,atual
8,2023-12-31,558.0,130.4126812754006,atual
8,2024-01-14,1227.0,364.95980443093924,atual
8,2024-01-28,1109.0,584.3141635858747,atual
8,2024-02-11,1849.0,879.2271159203717,atual
8,2024-02-25,1855.0,669.243389460197,atual
8,2024-03-10,911.0,364.9771367926811,atual
8,2024-03-24,646.0,302.38758479061073,atual
8,2024-04-07,199.0,390.4743245738044,atual
8,2024-04-21,277.0,270.497837944798,atual
8,2024-05-05,89.0,91.1727954933888,atual
8,2024-05-19,10.0,45.109385586573374,atual
8,2024-06-02,22.0,109.36078013843724,atual
8,2024-06-16,16.0,40.61664464516746,atual
8,2024-06-30,14.0,53.5796593915372,atual
8,2024-07-14,7.0,0.0,atual
8,2024-07-28,7.0,8.515313275329577,atual
8,2024-08-11,6.0,0.0,atual
8,2024-08-25,3.0,10.3283183439167,atual
8,2024-09-08,1.0,16.002613343912657,atual
8,2024-09-22,0.0,6.934823781039582,atual
