h,real,pred,conjunto
1,1.0,0.7573313856110004,M0_clima6
1,0.0,0.4586118850355976,M0_clima6
1,11.0,1.8161500766052707,M0_clima6
1,9.0,13.162064405216903,M0_clima6
1,4.0,6.820168762920923,M0_clima6
1,1.0,2.750033637985461,M0_clima6
1,3.0,-0.367810505199885,M0_clima6
1,0.0,1.2197271551499929,M0_clima6
1,0.0,2.2960965418497943,M0_clima6
1,7.0,29.665194769661177,M0_clima6
1,37.0,56.290465354802684,M0_clima6
1,199.0,142.30309701956898,M0_clima6
1,360.0,418.18293763808185,M0_clima6
1,589.0,571.519637777547,M0_clima6
1,760.0,745.0322978186439,M0_clima6
1,540.0,537.5960478088625,M0_clima6
1,450.0,480.15892151771214,M0_clima6
1,219.0,207.42577667080474,M0_clima6
1,76.0,61.075708734437306,M0_clima6
1,52.0,34.5871932091844,M0_clima6
1,25.0,39.78488199878762,M0_clima6
1,18.0,19.73331362783579,M0_clima6
1,9.0,7.749538361372713,M0_clima6
1,1.0,5.674584440637728,M0_clima6
1,3.0,5.001520410539518,M0_clima6
1,5.0,1.175930586567256,M0_clima6
1,4.0,3.088056790744612,M0_clima6
1,7.0,1.6980876166241954,M0_clima6
1,0.0,5.367870517235698,M0_clima6
1,3.0,0.8522497052478043,M0_clima6
1,3.0,11.136730173491157,M0_clima6
1,10.0,1.9531498788016495,M0_clima6
1,11.0,5.238240596184237,M0_clima6
1,30.0,15.652083188665722,M0_clima6
1,80.0,69.812586007649,M0_clima6
1,249.0,208.12101368625645,M0_clima6
1,1311.0,632.3704002160761,M0_clima6
1,995.0,1111.0962231586925,M0_clima6
1,1601.0,792.2330020805707,M0_clima6
1,1783.0,1367.6669614094724,M0_clima6
1,1347.0,1719.0924183201078,M0_clima6
1,1510.0,909.999064432167,M0_clima6
1,520.0,1108.5873801501136,M0_clima6
1,263.0,151.22593684290206,M0_clima6
1,194.0,262.1227102503907,M0_clima6
1,22.0,65.08294852172624,M0_clima6
1,13.0,2.465905731533345,M0_clima6
1,13.0,15.374790846763236,M0_clima6
1,13.0,17.671808721245263,M0_clima6
1,9.0,11.04560085016473,M0_clima6
1,10.0,4.3242794647643175,M0_clima6
1,3.0,9.114338925883654,M0_clima6
1,2.0,7.180305452392767,M0_clima6
1,3.0,3.4017411519421654,M0_clima6
1,2.0,2.326354842611386,M0_clima6
1,7.0,1.57354000220395,M0_clima6
1,5.0,2.5164500538985743,M0_clima6
1,1.0,2.3725916293743463,M0_clima6
1,26.0,48.02260705548236,M0_clima6
1,37.0,51.57142144531128,M0_clima6
1,75.0,81.09761111110946,M0_clima6
1,245.0,354.34992704099255,M0_clima6
1,494.0,392.4634712866391,M0_clima6
1,1199.0,931.375436469082,M0_clima6
1,2381.0,1502.1034552005133,M0_clima6
1,2247.0,1723.7990306692159,M0_clima6
1,2212.0,2169.9972507033267,M0_clima6
1,1944.0,2159.290764249027,M0_clima6
1,883.0,1976.0500893420478,M0_clima6
1,257.0,269.9356819826977,M0_clima6
1,50.0,206.03248282086116,M0_clima6
1,13.0,4.232470319206945,M0_clima6
1,9.0,11.032570629523978,M0_clima6
1,4.0,2.223729905299064,M0_clima6
1,9.0,6.459654631617266,M0_clima6
1,8.0,2.531939091143226,M0_clima6
1,3.0,3.0791884818350796,M0_clima6
1,6.0,6.544665877807184,M0_clima6
1,5.0,7.988139729251916,M0_clima6
1,8.0,4.099209308175669,M0_clima6
1,0.0,3.8239336183300754,M0_clima6
1,2.0,3.451045958277803,M0_clima6
1,2.0,2.488855279315426,M0_clima6
1,1.0,3.2839770782063193,M0_clima6
1,2.0,4.5120312770938185,M0_clima6
1,1.0,8.536592115359861,M0_clima6
1,1.0,1.685628889084646,M0_clima6
4,3.0,14.235106650357375,M0_clima6
4,0.0,-2.228179632427128,M0_clima6
4,0.0,-0.22194310678861692,M0_clima6
4,0.0,1.9988576939667944,M0_clima6
4,0.0,0.1049675669065287,M0_clima6
4,0.0,-0.02096279066567456,M0_clima6
4,0.0,-0.12522066767152398,M0_clima6
4,0.0,0.27627086397291994,M0_clima6
4,0.0,0.4860492740300047,M0_clima6
4,0.0,-0.03614239638890615,M0_clima6
4,0.0,0.023171959851977522,M0_clima6
4,0.0,0.40296907849639235,M0_clima6
4,0.0,0.387375310093579,M0_clima6
4,0.0,-0.04918194870748681,M0_clima6
4,0.0,0.5514641886306665,M0_clima6
4,0.0,-0.052625641600540216,M0_clima6
4,0.0,-0.1592907136893593,M0_clima6
4,0.0,0.29153730149852075,M0_clima6
4,0.0,0.756321795458633,M0_clima6
4,0.0,0.8496765454199892,M0_clima6
4,0.0,2.0946258626325176,M0_clima6
4,0.0,0.4896201807126337,M0_clima6
4,0.0,-0.38211573283450906,M0_clima6
4,0.0,5.209384500357377,M0_clima6
4,0.0,4.641561553204821,M0_clima6
4,1.0,4.88962137980317,M0_clima6
4,12.0,0.3608755901930128,M0_clima6
4,8.0,1.440000866177455,M0_clima6
4,9.0,41.92075519457285,M0_clima6
4,0.0,9.84717341561632,M0_clima6
4,1.0,-1.227860601058582,M0_clima6
4,0.0,1.356676923381344,M0_clima6
4,1.0,0.41960987632319774,M0_clima6
4,1.0,-0.09989651090763287,M0_clima6
4,0.0,0.28565334816177596,M0_clima6
4,0.0,0.5649269263817391,M0_clima6
4,0.0,-0.05573424131132772,M0_clima6
4,0.0,-0.021912574284015673,M0_clima6
4,0.0,0.07778644667977536,M0_clima6
4,0.0,-0.04841478211179449,M0_clima6
4,0.0,-0.013206823189784106,M0_clima6
