h,data,real,pred,maximo_visto_no_treino,variante
4,2021-09-26,0.0,0.006055653282900259,64.0,log1p
4,2021-10-10,0.0,0.01488389255970063,64.0,log1p
4,2021-10-24,0.0,0.036169107464621625,64.0,log1p
4,2021-11-07,1.0,0.0879164380352913,64.0,log1p
4,2021-11-21,0.0,-0.005692102582658366,64.0,log1p
4,2021-12-05,1.0,1.3392340997885679,64.0,log1p
4,2021-12-19,2.0,0.6059307910082528,64.0,log1p
4,2022-01-02,1.0,0.8662509170198505,64.0,log1p
4,2022-01-16,9.0,1.2540941512699217,64.0,log1p
4,2022-01-30,51.0,4.453815289201667,64.0,log1p
4,2022-02-13,269.0,32.65335608483023,203.0,log1p
4,2022-02-27,482.0,30.39474875599844,463.0,log1p
4,2022-03-13,753.0,164.93708266008431,524.0,log1p
4,2022-03-27,569.0,63.16126391854289,879.0,log1p
4,2022-04-10,223.0,101.77561354690323,879.0,log1p
4,2022-04-24,122.0,55.01985953286305,879.0,log1p
4,2022-05-08,61.0,59.83822964568911,879.0,log1p
4,2022-05-22,26.0,58.458128447214314,879.0,log1p
4,2022-06-05,14.0,17.264780564121054,879.0,log1p
4,2022-06-19,13.0,7.273741442086235,879.0,log1p
4,2022-07-03,11.0,1.181213844213235,879.0,log1p
4,2022-07-17,3.0,1.3868579479489993,879.0,log1p
4,2022-07-31,1.0,1.9327511660083414,879.0,log1p
4,2022-08-14,0.0,0.4619687759955259,879.0,log1p
4,2022-08-28,0.0,1.0355627531292126,879.0,log1p
4,2022-09-11,0.0,0.12749888374520796,879.0,log1p
4,2022-09-25,0.0,0.028384439026147464,879.0,log1p
4,2022-10-09,6.0,-0.0175404847997751,879.0,log1p
4,2022-10-23,7.0,0.28827833128134683,879.0,log1p
4,2022-11-06,10.0,1.522705969004825,879.0,log1p
4,2022-11-20,0.0,3.4062638282111224,879.0,log1p
4,2022-12-04,0.0,1.7028057964014323,879.0,log1p
4,2022-12-18,2.0,1.1569274042433926,879.0,log1p
4,2023-01-01,2.0,2.112995326033713,879.0,log1p
4,2023-01-15,10.0,2.4084381819713125,879.0,log1p
4,2023-01-29,27.0,5.264749719637817,879.0,log1p
4,2023-02-12,93.0,224.7526800038541,879.0,log1p
